fire_start_datetime,start_time,fire_end_datetime,end_time,locgungu,locmenu,damage_area,corrected_address,original_address
2015-06-03,11:58:00,2015-06-03,13:42:00,횡성,둔내,0.1,강원도 횡성군 둔내면,강원도 횡성 둔내
2015-06-02,15:30:00,2015-06-02,18:00:00,춘천,남산,0.09,강원도 춘천시 남산면,강원도 춘천 남산
2015-05-31,19:21:00,2015-06-01,12:00:00,홍천,서석,0.2,강원도 홍천군 서석면,강원도 홍천 서석
2015-05-31,19:02:00,2015-05-31,23:05:00,횡성,우천,0.15,강원도 횡성군 우천면,강원도 횡성 우천
2015-05-31,14:27:00,2015-05-31,18:00:00,화천,사내,0.06,강원도 화천군 사내면,강원도 화천 사내
2015-05-31,13:30:00,2015-05-31,18:00:00,화천,상서,0.03,강원도 화천군 상서면,강원도 화천 상서
2015-05-31,10:52:00,2015-05-31,16:30:00,삼척,하장,0.5,강원도 삼척시 하장면,강원도 삼척 하장
2015-05-29,15:05:00,2015-05-29,21:50:00,삼척,가곡,0.25,강원도 삼척시 가곡면,강원도 삼척 가곡
2015-05-28,18:10:00,2015-05-28,19:35:00,평창,미탄,0.3,강원도 평창군 미탄면,강원도 평창 미탄
2015-05-25,01:21:00,2015-05-25,17:00:00,횡성,갑천,0.5,강원도 횡성군 갑천면,강원도 횡성 갑천
2015-05-23,18:10:00,2015-05-23,20:00:00,평창,평창,0.5,강원도 평창군 평창읍,강원도 평창 평창
2015-05-21,19:22:00,2015-05-22,01:00:00,강릉,왕산,0.7,강원도 강릉시 왕산면,강원도 강릉 왕산
2015-05-21,15:55:00,2015-05-21,17:00:00,영월,북,0.04,강원도 영월군 북면,강원도 영월 북
2015-05-21,15:53:00,2015-05-21,16:50:00,횡성,우천,0.01,강원도 횡성군 우천면,강원도 횡성 우천
2015-05-21,15:40:00,2015-05-21,21:00:00,홍천,홍천,1.0,강원도 홍천군 홍천읍,강원도 홍천 홍천
2015-05-21,14:55:00,2015-05-21,20:00:00,삼척,노곡,1.2,강원도 삼척시 노곡면,강원도 삼척 노곡
2015-05-17,17:10:00,2015-05-17,20:00:00,홍천,내,0.2,강원도 홍천군 내촌면,강원도 홍천 내
2015-05-17,11:12:00,2015-05-17,14:15:00,양양,현북,0.3,강원도 양양군 현북면,강원도 양양 현북
2015-05-11,13:26:00,2015-05-11,15:00:00,정선,임계,0.1,강원도 정선군 임계면,강원도 정선 임계
2015-05-10,15:30:00,2015-05-10,16:45:00,강릉,왕산,0.1,강원도 강릉시 왕산면,강원도 강릉 왕산
2015-05-08,13:27:00,2015-05-08,14:10:00,강릉,왕산,0.1,강원도 강릉시 왕산면,강원도 강릉 왕산
2015-05-07,14:50:00,2015-05-07,16:00:00,춘천,동산,0.01,강원도 춘천시 동산면,강원도 춘천 동산
2015-05-07,13:40:00,2015-05-07,14:40:00,춘천,서,0.01,강원도 춘천시 서면,강원도 춘천 서
2015-05-05,16:32:00,2015-05-05,17:50:00,횡성,횡성,0.01,강원도 횡성군 횡성읍,강원도 횡성 횡성
2015-05-05,11:10:00,2015-05-05,12:20:00,평창,봉평,0.1,강원도 평창군 봉평면,강원도 평창 봉평
2015-05-05,10:40:00,2015-05-05,12:50:00,강릉,왕산,0.2,강원도 강릉시 왕산면,강원도 강릉 왕산
2015-05-05,07:15:00,2015-05-05,08:30:00,강릉,사천,0.01,강원도 강릉시 사천면,강원도 강릉 사천
2015-05-02,17:30:00,2015-05-02,19:40:00,강릉,주문진,0.02,강원도 강릉시 주문진읍,강원도 강릉 주문진
2015-05-02,12:50:00,2015-05-02,16:00:00,영월,남,0.03,강원도 영월군 남면,강원도 영월 남
2015-04-29,21:15:00,2015-04-30,01:50:00,양구,양구,0.5,강원도 양구군 양구읍,강원도 양구 양구
2015-04-28,13:58:00,2015-04-28,20:00:00,홍천,화촌,2.0,강원도 홍천군 화촌면,강원도 홍천 화촌
2015-04-26,19:32:00,2015-04-26,23:25:00,강릉,옥계,0.2,강원도 강릉시 옥계면,강원도 강릉 옥계
2015-04-26,12:30:00,2015-04-26,14:40:00,화천,상서,0.2,강원도 화천군 상서면,강원도 화천 상서
2015-12-22,13:54:00,2015-12-22,14:30:00,강릉,학,0.01,강원도 강릉시 학동,강원도 강릉 학
