fire_start_datetime,start_time,fire_end_datetime,end_time,corrected_address,damage_area,latitude,longitude
2014-04-24,15:20:00,2014-04-24,18:00:00,강원도 춘천시 동산면,0.05,37.7523096450281,127.796298351078
2014-04-24,12:54:00,2014-04-24,18:30:00,강원도 영월군 무릉도원면,1.0,37.2883503881401,128.268649175287
2014-04-24,12:05:00,2014-04-24,15:15:00,강원도 횡성군 우천면,0.4,37.4594058323665,128.06243796948
2014-04-24,10:50:00,2014-04-24,20:30:00,강원도 홍천군 서석면,2.5,37.7135954442631,128.186169902059
2014-04-23,13:30:00,2014-04-23,16:40:00,강원도 춘천시 남면,0.03,37.7321563694312,127.599895449274
2014-04-22,14:46:00,2014-04-22,17:10:00,강원도 홍천군 화촌면,0.5,37.7710054077675,127.966895174076
2014-04-22,10:35:00,2014-04-22,13:00:00,강원도 인제군 북면,0.05,38.1246704618065,128.204172526138
2014-04-21,16:05:00,2014-04-21,17:30:00,강원도 고성군 토성면,0.09,38.257289697991,128.558906495609
2014-04-21,13:15:00,2014-04-21,15:30:00,강원도 영월군 한반도면,0.1,37.2367970270269,128.328378893623
2014-04-20,13:41:00,2014-04-20,15:13:00,강원도 홍천군 서면,0.2,37.6885985446756,127.664103886782
2014-04-17,19:14:00,2014-04-17,21:15:00,강원도 춘천시 동면,0.03,37.910341608957,127.781091988381
2014-04-16,22:57:00,2014-04-16,00:30:00,강원도 춘천시 동면,0.09,37.910341608957,127.781091988381
2014-04-13,14:20:00,2014-04-13,16:10:00,강원도 홍천군 북방면,0.1,37.705563256545,127.853191045521
2014-04-12,14:04:00,2014-04-12,16:00:00,강원도 양구군 양구읍,0.2,38.1080405251365,127.990430398263
2014-04-11,16:46:00,2014-04-11,18:10:00,강원도 원주시 지정면,0.1,37.3621506214657,127.840189486855
2014-04-11,14:50:00,2014-04-11,17:30:00,강원도 춘천시 동면,0.01,37.910341608957,127.781091988381
2014-04-10,15:10:00,2014-04-10,15:50:00,강원도 철원군 갈말읍,0.03,38.1477243520665,127.30830034891
2014-04-10,13:10:00,2014-04-10,14:19:00,강원도 양구군 국토정중앙면,0.05,38.1084781281203,128.034570007438
2014-04-09,14:00:00,2014-04-09,15:00:00,강원도 영월군 무릉도원면,0.0,37.2883503881401,128.268649175287
2014-04-01,13:50:00,2014-04-01,14:50:00,강원도 횡성군 서원면,0.2,37.4870801187572,127.850550659118
2014-03-27,18:29:00,2014-03-27,20:35:00,강원도 평창군 용평면,0.15,37.6066960645327,128.440214137176
2014-03-27,17:29:00,2014-03-27,18:37:00,강원도 홍천군 서면,0.2,37.6885985446756,127.664103886782
2014-03-27,15:48:00,2014-03-27,17:00:00,강원도 철원군 갈말읍,0.03,38.1477243520665,127.30830034891
2014-03-24,19:14:00,2014-03-24,20:20:00,강원도 양양군 강현면,0.3,38.1499826978456,128.607652116524
2014-03-24,16:27:00,2014-03-24,17:10:00,강원도 홍천군 두촌면,0.2,37.8686986720293,128.018956858672
2014-03-11,16:50:00,2014-03-11,17:50:00,강원도 원주시 귀래면,0.06,37.1697663767707,127.884667844212
2014-03-10,10:23:00,2014-03-10,12:45:00,강원도 화천군 화천읍,0.12,38.1042562811837,127.707178844679
2014-03-07,15:10:00,2014-03-07,16:45:00,강원도 홍천군 북방면,0.2,37.705563256545,127.853191045521
2014-03-07,13:37:00,2014-03-07,15:00:00,강원도 춘천시 서면,0.05,37.8986923448081,127.692791905634
